YEAR_COURSE,PROV_NAME,SBJ_NAME, STUDENT_CNT ,AVG_SCORE,SD_SCORE,MED_SCORE,MOD_SCORE,MIN_SCORE,MAX_SCORE
2563,????????,??????????," 6,068 ",28.03,16.95,24.00,20.00,0.00,100.00
2563,????????,???????????," 6,023 ",31.40,10.21,29.80,29.40,4.40,97.80
2563,??????????,???????," 2,631 ",50.31,15.21,50.00,56.25,11.25,88.75
2563,??????????,??????????," 2,625 ",29.48,10.27,27.50,27.50,5.00,85.00
2563,??????????,??????????," 2,630 ",21.61,10.58,20.00,20.00,0.00,80.00
2563,??????????,???????????," 2,625 ",28.05,8.15,27.60,27.20,6.60,75.40
2563,?????????,???????," 4,477 ",52.63,16.01,53.75,61.25,3.75,95.00
2563,?????????,??????????," 4,426 ",33.47,14.10,30.00,27.50,5.00,97.50
2563,?????????,??????????," 4,483 ",24.32,13.61,20.00,20.00,0.00,100.00
2563,?????????,???????????," 4,437 ",29.74,9.34,29.00,27.20,6.60,88.20
2563,?????????,???????," 2,240 ",52.19,15.87,52.50,60.00,2.50,92.50
2563,?????????,??????????," 2,222 ",31.27,12.15,30.00,27.50,7.50,90.00
2563,?????????,??????????," 2,239 ",24.02,12.76,20.00,20.00,0.00,92.00
2563,?????????,???????????," 2,228 ",28.80,8.71,27.60,27.20,7.00,72.80
2563,?????????,???????," 5,935 ",51.18,16.12,51.25,52.50,7.50,92.50
2563,?????????,??????????," 5,848 ",31.44,12.19,30.00,27.50,5.00,100.00
2563,?????????,??????????," 5,933 ",23.26,12.27,20.00,20.00,0.00,96.00
2563,?????????,???????????," 5,865 ",28.74,8.38,27.60,27.20,6.60,75.40
2563,???,???????," 4,073 ",52.00,15.25,52.50,56.25,10.00,91.25
2563,???,??????????," 4,052 ",31.34,12.03,30.00,25.00,5.00,95.00
2563,???,??????????," 4,073 ",23.21,12.16,20.00,20.00,0.00,100.00
2563,???,???????????," 4,053 ",28.76,8.47,27.60,27.20,2.20,89.00
2563,???????,???????," 3,147 ",54.46,15.87,55.00,52.50,5.00,95.00
2563,???????,??????????," 3,122 ",32.89,13.29,30.00,27.50,7.50,97.50
2563,???????,??????????," 3,144 ",25.08,13.93,24.00,20.00,0.00,96.00
2563,???????,???????????," 3,126 ",29.80,9.03,29.00,25.00,4.40,79.80
2563,????????,???????," 4,482 ",56.80,15.79,57.50,62.50,8.75,96.25
2563,????????,??????????," 4,441 ",35.37,15.71,32.50,30.00,5.00,97.50
2563,????????,??????????," 4,484 ",27.47,17.32,24.00,20.00,0.00,100.00
2563,????????,???????????," 4,446 ",30.99,10.49,29.40,27.20,2.20,93.40
2563,??????,???????," 4,117 ",51.23,15.81,52.50,51.25,8.75,93.75
2563,??????,??????????," 4,084 ",31.67,12.63,30.00,27.50,2.50,97.50
2563,??????,??????????," 4,120 ",23.71,13.10,20.00,20.00,0.00,100.00
2563,??????,???????????," 4,086 ",28.73,8.52,27.60,27.20,7.00,75.40
2563,?????????,???????," 4,453 ",52.99,16.06,53.75,52.50,6.25,95.00
2563,?????????,??????????," 4,415 ",32.57,13.58,30.00,30.00,5.00,100.00
2563,?????????,??????????," 4,454 ",23.83,12.83,20.00,20.00,0.00,100.00
2563,?????????,???????????," 4,426 ",28.92,8.95,27.60,27.20,7.40,82.00
2563,???????,???????," 3,044 ",56.50,15.49,57.50,62.50,11.25,93.75
2563,???????,??????????," 2,976 ",35.62,14.57,32.50,30.00,5.00,97.50
2563,???????,??????????," 3,050 ",26.71,15.75,24.00,20.00,0.00,100.00
2563,???????,???????????," 2,980 ",30.66,9.62,29.40,27.20,6.60,82.40
2563,?????????,???????," 3,011 ",53.29,14.95,53.75,58.75,10.00,90.00
2563,?????????,??????????," 2,921 ",32.32,12.15,30.00,27.50,7.50,97.50
2563,?????????,??????????," 3,014 ",23.77,12.49,20.00,20.00,0.00,96.00
2563,?????????,???????????," 2,933 ",29.62,8.47,29.00,27.20,7.40,81.60
2563,??????????,???????," 2,857 ",56.86,15.69,58.75,62.50,13.75,91.25
2563,??????????,??????????," 2,758 ",34.92,14.00,32.50,25.00,7.50,92.50
2563,??????????,??????????," 2,864 ",27.12,15.17,24.00,20.00,0.00,100.00
2563,??????????,???????????," 2,765 ",30.77,9.65,29.80,25.00,4.80,84.20
2563,??????,???????," 1,919 ",58.32,16.22,60.00,58.75,10.00,95.00
2563,??????,??????????," 1,902 ",41.81,18.78,37.50,30.00,5.00,100.00
2563,??????,??????????," 1,918 ",31.03,18.05,28.00,20.00,0.00,100.00
2563,??????,???????????," 1,902 ",32.59,11.04,31.20,27.20,8.80,84.60
2563,?????????,???????," 1,349 ",57.46,15.59,58.75,56.25,15.00,93.75
2563,?????????,??????????," 1,317 ",35.68,13.48,32.50,27.50,10.00,95.00
2563,?????????,??????????," 1,349 ",25.81,13.54,24.00,20.00,0.00,88.00
2563,?????????,???????????," 1,318 ",31.22,9.34,29.80,29.40,11.00,77.60
2563,???????????,???????, 525 ,59.08,16.05,61.25,66.25,8.75,91.25
2563,???????????,??????????, 510 ,41.58,17.21,37.50,32.50,7.50,97.50
2563,???????????,??????????, 525 ,33.87,20.18,28.00,20.00,4.00,100.00
2563,???????????,???????????, 510 ,33.05,10.61,31.60,27.20,11.40,86.00
2563,????????,???????," 2,969 ",55.78,16.23,57.50,62.50,10.00,96.25
2563,????????,??????????," 2,892 ",35.10,15.06,32.50,30.00,7.50,97.50
2563,????????,??????????," 2,968 ",28.01,17.44,24.00,20.00,0.00,100.00
2563,????????,???????????," 2,897 ",31.14,10.40,29.40,29.40,4.40,88.20
2563,???????????????,???????," 2,671 ",57.08,15.10,58.75,60.00,15.00,96.25
2563,???????????????,??????????," 2,612 ",35.38,14.71,32.50,30.00,5.00,100.00
2563,???????????????,??????????," 2,670 ",25.68,13.75,24.00,20.00,0.00,96.00
2563,???????????????,???????????," 2,614 ",30.89,9.23,29.80,27.20,8.80,80.20
2563,?????????????,???????," 8,736 ",58.70,15.59,60.00,67.50,10.00,100.00
2563,?????????????,??????????," 8,564 ",35.11,14.78,32.50,27.50,2.50,100.00
2563,?????????????,??????????," 8,738 ",27.92,17.61,24.00,20.00,0.00,100.00
2563,?????????????,???????????," 8,572 ",31.25,10.47,29.80,29.40,2.60,91.20
2563,??????,???????," 4,202 ",54.17,16.34,55.00,63.75,12.50,95.00
2563,??????,??????????," 4,129 ",32.48,12.94,30.00,27.50,5.00,100.00
2563,??????,??????????," 4,201 ",23.59,13.20,20.00,20.00,0.00,100.00
2563,??????,???????????," 4,128 ",28.97,9.04,27.60,25.00,6.60,84.20
2563,?????,???????," 1,408 ",56.86,14.96,57.50,62.50,13.75,93.75
2563,?????,??????????," 1,354 ",33.73,12.92,30.00,27.50,7.50,95.00
2563,?????,??????????," 1,413 ",25.44,14.69,24.00,20.00,0.00,100.00
2563,?????,???????????," 1,384 ",30.17,9.69,29.40,27.20,8.80,72.40
2563,??????,???????," 2,008 ",59.29,15.38,61.25,63.75,12.50,98.75
2563,??????,??????????," 1,983 ",42.43,18.85,37.50,32.50,10.00,100.00
2563,??????,??????????," 2,021 ",30.40,19.57,24.00,24.00,0.00,100.00
2563,??????,???????????," 1,991 ",32.57,11.72,30.60,29.40,6.60,93.40
2563,????????????,???????," 5,970 ",55.11,16.03,56.25,57.50,12.50,93.75
2563,????????????,??????????," 5,894 ",34.24,14.60,30.00,27.50,5.00,100.00
2563,????????????,??????????," 6,004 ",25.14,14.61,24.00,20.00,0.00,100.00
2563,????????????,???????????," 5,905 ",29.77,9.66,29.00,29.40,4.80,86.80
2563,?????,???????, 922 ,52.67,15.77,52.50,47.50,15.00,93.75
2563,?????,??????????, 913 ,29.59,10.85,27.50,27.50,5.00,92.50
2563,?????,??????????, 927 ,21.80,11.24,20.00,20.00,0.00,88.00
2563,?????,???????????, 914 ,27.79,8.07,27.20,25.00,7.00,72.80
2563,?????,???????," 3,515 ",57.36,14.95,58.75,60.00,11.25,96.25
2563,?????,??????????," 3,478 ",33.92,13.74,30.00,30.00,5.00,97.50
2563,?????,??????????," 3,514 ",26.30,15.12,24.00,20.00,0.00,100.00
2563,?????,???????????," 3,476 ",30.16,9.33,29.40,27.20,7.00,79.80
2563,?????,???????," 8,524 ",57.25,16.47,58.75,66.25,10.00,96.25
2563,?????,??????????," 8,439 ",37.24,16.43,32.50,27.50,5.00,100.00
2563,?????,??????????," 8,535 ",28.59,18.29,24.00,20.00,0.00,100.00
2563,?????,???????????," 8,448 ",31.43,10.90,29.40,29.40,2.20,95.60
2563,????,???????," 1,859 ",54.36,15.22,55.00,63.75,11.25,92.50
2563,????,??????????," 1,828 ",33.25,12.93,30.00,30.00,7.50,100.00
2563,????,??????????," 1,839 ",24.04,13.29,20.00,20.00,0.00,92.00
2563,????,???????????," 1,840 ",29.36,9.19,27.60,25.00,4.40,72.80
2563,????,???????," 5,975 ",57.38,15.78,58.75,61.25,5.00,97.50
2563,????,??????????," 5,951 ",34.56,13.96,32.50,30.00,2.50,97.50
2563,????,??????????," 5,982 ",27.00,16.44,24.00,20.00,0.00,100.00
2563,????,???????????," 5,951 ",30.48,10.35,29.40,27.20,2.20,91.20
